term,parent,translation,language,tags,added,status,link_status,pronunciation
puppy,,young dog,English,,2026-01-29 14:18:17,1,,
quickly,,,English,,2026-01-29 18:12:13,99,,
re,,,English,,2026-01-29 18:12:13,99,,
read,,,English,,2026-01-29 18:12:13,99,,
reading,,,English,,2026-01-29 18:12:13,99,,
really,,,English,,2026-01-29 18:12:13,99,,
red,,,English,,2026-01-29 18:32:22,99,,
references,,,English,,2026-01-29 18:12:13,99,,
release,,,English,,2026-01-29 18:32:32,99,,
remainder,,,English,,2026-01-29 18:12:13,99,,
right,,,English,,2026-01-29 18:32:25,99,,
s,,,English,,2026-01-29 18:12:13,99,,
save,,,English,,2026-01-29 18:32:30,99,,
saved,,,English,,2026-01-29 18:32:30,99,,
screen,,,English,,2026-01-29 18:12:13,99,,
scroll,,,English,,2026-01-29 18:32:22,99,,
se,,,English,,2026-01-29 18:12:13,99,,
search,,,English,,2026-01-29 18:32:30,99,,
searches,,,English,,2026-01-29 18:12:13,99,,
second,,,English,,2026-01-29 18:32:30,99,,
section,,,English,,2026-01-29 18:12:13,99,,
sections,,,English,,2026-01-29 18:32:25,99,,
see,,,English,,2026-01-29 18:12:13,99,,
seeing,,,English,,2026-01-29 18:32:30,99,,
select,,,English,,2026-01-29 18:32:32,99,,
sense,,,English,,2026-01-29 18:32:32,99,,
sentarse,,,English,,2026-01-29 18:12:13,99,,
sentence,,,English,,2026-01-29 18:32:25,99,,
sentirse,,,English,,2026-01-29 18:12:13,99,,
set,,,English,,2026-01-29 18:12:13,99,,
setting,,,English,,2026-01-29 18:12:13,99,,
short,,,English,,2026-01-29 18:32:30,99,,
shortcuts,,,English,,2026-01-29 18:12:13,99,,
shot,,,English,,2026-01-29 18:12:13,99,,
should,,,English,,2026-01-29 18:12:13,99,,
show,,,English,,2026-01-29 18:32:30,99,,
shown,,,English,,2026-01-29 18:32:22,99,,
side,,,English,,2026-01-29 18:32:32,99,,
sienta,,,English,,2026-01-29 18:12:13,99,,
simple,,,English,,2026-01-29 18:32:30,99,,
sit,,,English,,2026-01-29 18:12:13,99,,
slider,,,English,,2026-01-29 18:32:30,99,,
small,,,English,,2026-01-29 18:12:13,99,,
so,,,English,,2026-01-29 18:32:22,99,,
some,,,English,,2026-01-29 18:12:13,99,,
something,,,English,,2026-01-29 18:32:30,99,,
start,,,English,,2026-01-29 18:32:22,99,,
status,,,English,,2026-01-29 18:13:02,99,,
statuses,,,English,,2026-01-29 18:32:25,99,,
steps,,,English,,2026-01-29 18:32:25,99,,
still,,,English,,2026-01-29 18:12:13,99,,
stopping,,,English,,2026-01-29 18:12:13,99,,
switch,,,English,,2026-01-29 18:32:22,99,,
t,,,English,,2026-01-29 18:32:22,99,,
tab,,,English,,2026-01-29 18:32:22,99,,
table,,,English,,2026-01-29 18:32:25,99,,
tabs,,,English,,2026-01-29 18:32:30,99,,
tags,,,English,,2026-01-29 18:32:30,99,,
term,,,English,,2026-01-29 18:12:13,99,,
terms,,,English,,2026-01-29 18:12:13,99,,
text,,,English,,2026-01-29 18:12:13,99,,
that,,,English,,2026-01-29 18:12:13,99,,
their,,,English,,2026-01-29 18:32:25,99,,
them,,,English,,2026-01-29 18:12:13,99,,
these,,,English,,2026-01-29 18:12:13,99,,
they,,,English,,2026-01-29 18:32:30,99,,
the​ ​cat​'​s​ ​pyjamas,,"猫的睡衣
an old-fashioned, informal idiom used to describe someone or something as highly admired, excellent, or the absolute best。",English,,2026-01-29 14:05:07,1,,
this,,,English,,2026-01-29 18:12:13,99,,
though,,,English,,2026-01-29 18:12:13,99,,
through,,,English,,2026-01-29 18:32:22,99,,
time,,,English,,2026-01-29 18:32:25,99,,
to,,,English,,2026-01-29 13:51:03,99,,
too,,,English,,2026-01-29 18:12:13,99,,
top,,,English,,2026-01-29 18:12:13,99,,
track,,,English,,2026-01-29 18:32:25,99,,
translation,,,English,,2026-01-29 18:32:30,99,,
tutorial,,,English,,2026-01-29 18:12:13,99,,
two,,,English,,2026-01-29 18:32:30,99,,
type,,,English,,2026-01-29 18:12:13,99,,
typing,,,English,,2026-01-29 18:32:32,99,,
un,,,English,,2026-01-29 18:32:22,99,,
underline,,,English,,2026-01-29 18:32:22,99,,
underlined,,,English,,2026-01-29 18:32:22,99,,
unknown,,,English,,2026-01-29 18:12:13,99,,
unknowns,,,English,,2026-01-29 18:12:13,99,,
up,,,English,,2026-01-29 18:12:13,99,,
update,,,English,,2026-01-29 18:32:22,99,,
updated,,,English,,2026-01-29 18:32:32,99,,
useful,,,English,,2026-01-29 18:12:13,99,,
userimages,,,English,,2026-01-29 18:32:30,99,,
uses,,,English,,2026-01-29 18:12:13,99,,
using,,,English,,2026-01-29 18:12:13,99,,
various,,,English,,2026-01-29 18:32:32,99,,
ve,,,English,,2026-01-29 18:32:22,99,,
verb,,,English,,2026-01-29 18:32:32,99,,
w,,,English,,2026-01-29 18:32:22,99,,
want,,,English,,2026-01-29 18:32:30,99,,
wanted,,,English,,2026-01-29 18:12:13,99,,
well,,,English,,2026-01-29 18:12:13,99,,
were,,,English,,2026-01-29 18:32:32,99,,
what,,,English,,2026-01-29 18:12:13,99,,
where,,,English,,2026-01-29 18:32:22,99,,
which,,,English,,2026-01-29 18:12:13,99,,
while,,,English,,2026-01-29 18:32:25,99,,
will,,,English,,2026-01-29 18:12:13,99,,
window,,,English,,2026-01-29 18:32:22,99,,
with,,,English,,2026-01-29 18:12:13,99,,
without,,,English,,2026-01-29 18:12:13,99,,
won,,,English,,2026-01-29 18:32:22,99,,
word,,,English,,2026-01-29 18:32:22,99,,
words,,,English,,2026-01-29 18:12:13,99,,
work,,,English,,2026-01-29 18:32:22,99,,
worked,,,English,,2026-01-29 18:32:22,99,,
works,,,English,,2026-01-29 18:32:25,99,,
your,,,English,,2026-01-29 18:32:25,99,,
